Date,High,Low,Open,Close,Volume,QuoteVolume,WeightedAverage
Thu Mar 21 2019 00:50:00 GMT+0530 (IST),0.03425999,0.03421592,0.03424557,0.03421592,2.79908072,81.73792526,0.03424457
Thu Mar 21 2019 00:55:00 GMT+0530 (IST),0.03423357,0.03421592,0.03423357,0.03421592,0.00002382,0.00069627,0.03421744
Thu Mar 21 2019 01:00:00 GMT+0530 (IST),0.03424999,0.0342284,0.0342284,0.03422841,0.23931223,6.98920623,0.03424026
Thu Mar 21 2019 01:05:00 GMT+0530 (IST),0.03422841,0.0342284,0.03422841,0.0342284,0.08398051,2.45353232,0.0342284
Thu Mar 21 2019 01:10:00 GMT+0530 (IST),0.03422841,0.0342284,0.03422841,0.0342284,0.32148595,9.39237201,0.0342284
Thu Mar 21 2019 01:15:00 GMT+0530 (IST),0.03428136,0.03421597,0.03422841,0.03421602,0.41330243,12.07606639,0.03422492
Thu Mar 21 2019 01:20:00 GMT+0530 (IST),0.03428743,0.034216,0.03426,0.03421613,0.1081795,3.15961063,0.03423824
Thu Mar 21 2019 01:25:00 GMT+0530 (IST),0.034275,0.03422288,0.03427,0.034275,0.02495313,0.7280274,0.03427499
Thu Mar 21 2019 01:30:00 GMT+0530 (IST),0.03429499,0.03424616,0.03424616,0.034255,0.28630565,8.35806908,0.03425499
Thu Mar 21 2019 01:35:00 GMT+0530 (IST),0.03430682,0.03424614,0.034255,0.034265,0.09719958,2.83624553,0.03427051
Thu Mar 21 2019 01:40:00 GMT+0530 (IST),0.03431025,0.03424633,0.03424633,0.03429,0.05861013,1.70899973,0.03429499
Thu Mar 21 2019 01:45:00 GMT+0530 (IST),0.03428999,0.03424618,0.03428999,0.03426,0.01143728,0.33370355,0.03427377
Thu Mar 21 2019 01:50:00 GMT+0530 (IST),0.03429,0.03426,0.03426,0.03427003,0.94903541,27.70076016,0.03426026
Thu Mar 21 2019 01:55:00 GMT+0530 (IST),0.03429999,0.03427503,0.03427503,0.03429499,0.00049533,0.01444345,0.03429487
Thu Mar 21 2019 02:00:00 GMT+0530 (IST),0.03431999,0.03426648,0.03428506,0.03426648,0.11217613,3.27099878,0.03429415
Thu Mar 21 2019 02:05:00 GMT+0530 (IST),0.0342836,0.03426198,0.03428337,0.03427632,0.01605157,0.46829932,0.03427632
Thu Mar 21 2019 02:10:00 GMT+0530 (IST),0.03434,0.03427632,0.03427632,0.03433998,0.29373086,8.5578596,0.03432293
Thu Mar 21 2019 02:15:00 GMT+0530 (IST),0.03435506,0.03433997,0.03433997,0.03435005,0.07492664,2.18141213,0.03434777
Thu Mar 21 2019 02:20:00 GMT+0530 (IST),0.03435506,0.03431504,0.03435506,0.03431504,0.04393006,1.28018836,0.03431531
Thu Mar 21 2019 02:25:00 GMT+0530 (IST),0.03435,0.03431,0.03431505,0.034315,0.17813017,5.18946222,0.03432536
Thu Mar 21 2019 02:30:00 GMT+0530 (IST),0.03435129,0.034325,0.034325,0.034325,0.00014347,0.00417894,0.03433321
Thu Mar 21 2019 02:35:00 GMT+0530 (IST),0.03435129,0.034325,0.03435129,0.03434064,0.00049151,0.01431317,0.03434021
Thu Mar 21 2019 02:40:00 GMT+0530 (IST),0.034355,0.03433,0.03434064,0.034345,0.09286908,2.70374486,0.03434831
Thu Mar 21 2019 02:45:00 GMT+0530 (IST),0.034345,0.03432,0.03432,0.034335,0.03449895,1.00477537,0.03433499
Thu Mar 21 2019 02:50:00 GMT+0530 (IST),0.034375,0.03431572,0.034375,0.03431572,0.01716354,0.50016555,0.03431572
Thu Mar 21 2019 02:55:00 GMT+0530 (IST),0.03436,0.03436,0.03436,0.03436,0.05143692,1.497,0.03436
Thu Mar 21 2019 03:00:00 GMT+0530 (IST),0.03437,0.03436,0.03437,0.03436,0.03504024,1.01979747,0.03436
Thu Mar 21 2019 03:05:00 GMT+0530 (IST),0.03436,0.034325,0.03436,0.03435999,0.47209752,13.73974236,0.03435999
Thu Mar 21 2019 03:10:00 GMT+0530 (IST),0.03438,0.03434513,0.03434513,0.03438,2.02520102,58.9075275,0.03437932
Thu Mar 21 2019 03:15:00 GMT+0530 (IST),0.034365,0.034355,0.034355,0.034365,0.08042366,2.3402785,0.03436499
Thu Mar 21 2019 03:20:00 GMT+0530 (IST),0.03435,0.03435,0.03435,0.03435,0.00719665,0.2095096,0.03435
Thu Mar 21 2019 03:25:00 GMT+0530 (IST),0.034365,0.03435,0.03435,0.034365,0.02414024,0.70268644,0.03435422
Thu Mar 21 2019 03:30:00 GMT+0530 (IST),0.03438543,0.034375,0.03438543,0.034375,0.00001354,0.00039402,0.03437611
Thu Mar 21 2019 03:35:00 GMT+0530 (IST),0.03440499,0.03437,0.03440499,0.03437,0.00569114,0.1655391,0.03437945
Thu Mar 21 2019 03:40:00 GMT+0530 (IST),0.034375,0.034375,0.034375,0.034375,0.00544434,0.15838086,0.034375
Thu Mar 21 2019 03:45:00 GMT+0530 (IST),0.03439002,0.03437003,0.034375,0.03439002,0.02540617,0.73912319,0.03437339
Thu Mar 21 2019 03:50:00 GMT+0530 (IST),0.03439007,0.03439007,0.03439007,0.03439007,0.00068441,0.01990163,0.03439007
Thu Mar 21 2019 03:55:00 GMT+0530 (IST),0.03444,0.03439499,0.03439499,0.03440011,0.10389933,3.01803957,0.03442609
Thu Mar 21 2019 04:00:00 GMT+0530 (IST),0.03444233,0.034425,0.034425,0.03444233,0.0001046,0.00303711,0.03444231
Thu Mar 21 2019 04:05:00 GMT+0530 (IST),0.0345,0.0343953,0.03444233,0.03444065,1.07561987,31.1922441,0.03448356
Thu Mar 21 2019 04:10:00 GMT+0530 (IST),0.034455,0.03443571,0.03443571,0.034455,0.21727309,6.30619611,0.0344539
Thu Mar 21 2019 04:15:00 GMT+0530 (IST),0.034455,0.034455,0.034455,0.034455,0,0,0.034455
